cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
890,0.41,1.0,85,62,-121,85,103,-148,85,-40,116,85,-89,112
900,0.49,1.0,85,52,-120,85,95,-111,85,-50,119,85,-92,107
910,0.57,1.0,85,42,-117,85,89,-111,85,-60,121,85,-105,143
920,0.66,1.0,85,32,-112,85,85,-116,85,-69,121,85,-64,148
930,0.74,1.0,85,22,-107,85,79,-119,85,-77,120,85,-24,111
940,0.82,1.0,85,54,-143,85,71,-121,85,-84,117,85,-30,111
950,0.91,1.0,85,103,-148,85,62,-121,85,-89,112,85,-40,116
960,0.99,1.0,85,95,-111,85,52,-120,85,-92,107,85,-50,119
970,0.07,1.0,85,89,-111,85,42,-117,85,-105,143,85,-60,121
980,0.16,1.0,85,85,-116,85,32,-112,85,-64,148,85,-69,121
