cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.07,0.2,85,68,-137,85,71,-137,85,-78,138,85,-100,152
20,0.16,0.2,85,66,-137,85,68,-137,85,-80,138,85,-95,152
30,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
40,0.33,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
50,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
60,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
70,0.58,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
80,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
90,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
100,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
110,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
120,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
130,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
140,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
150,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
160,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
170,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
180,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
190,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
200,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
210,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
220,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
230,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
240,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
250,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
260,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
270,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
280,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
290,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
300,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
310,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
320,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
330,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
340,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
350,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
360,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
370,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
380,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
390,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
400,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
410,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
420,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
430,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
440,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
450,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
460,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
470,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
480,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
490,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
500,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
510,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
520,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
530,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
540,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
550,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
560,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
570,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
580,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
590,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
600,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
610,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
620,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
630,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
640,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
650,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
660,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
670,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
680,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
690,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
700,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
710,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
720,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
730,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
740,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
750,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
760,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
770,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
780,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
790,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
