cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
800,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
810,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
820,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
830,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
840,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
850,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
860,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
870,0.24,1.0,85,53,-134,85,68,-137,85,-69,137,85,-54,135
880,0.32,1.0,85,75,-152,85,70,-137,85,-67,137,85,-51,134
890,0.41,1.0,85,108,-150,85,66,-137,85,-71,137,85,-56,135
900,0.49,1.0,85,95,-134,85,54,-135,85,-82,137,85,-67,137
910,0.57,1.0,85,96,-134,85,75,-152,85,-82,137,85,-67,137
920,0.66,1.0,85,93,-135,85,108,-150,85,-85,137,85,-71,137
930,0.74,1.0,85,84,-137,85,95,-134,85,-94,135,85,-82,137
940,0.82,1.0,85,73,-137,85,87,-137,85,-112,149,85,-92,136
950,0.91,1.0,85,67,-137,85,82,-137,85,-83,152,85,-96,134
960,0.99,1.0,85,68,-137,85,83,-137,85,-54,135,85,-95,134
970,0.07,1.0,85,58,-136,85,73,-137,85,-64,137,85,-112,149
980,0.16,1.0,85,51,-134,85,67,-137,85,-70,137,85,-83,152
