cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
20,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
30,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
40,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
50,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
60,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
70,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
80,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
90,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
100,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
110,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
120,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
130,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
140,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
150,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
160,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
170,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
180,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
190,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
200,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
210,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
220,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
230,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
240,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
250,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
260,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
270,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
280,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
290,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
300,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
310,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
320,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
330,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
340,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
350,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
360,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
370,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
380,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
390,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
400,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
410,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
420,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
430,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
440,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
450,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
460,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
470,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
480,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
490,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
500,0.24,1.0,85,105,-127,85,87,-136,85,-91,136,85,-105,126
510,0.36,1.0,85,116,-156,85,102,-130,85,-70,137,85,-96,134
520,0.49,1.0,85,33,-127,85,105,-126,85,-61,136,85,-90,136
530,0.61,1.0,85,51,-134,85,116,-156,85,-39,130,85,-70,137
540,0.74,1.0,85,60,-136,85,33,-127,85,-31,126,85,-61,136
550,0.86,1.0,85,67,-137,85,36,-128,85,-94,158,85,-54,135
560,0.99,1.0,85,87,-136,85,58,-136,85,-105,126,85,-33,127
570,0.11,1.0,85,94,-135,85,67,-137,85,-104,128,85,-94,158
