cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
410,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
420,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
430,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
440,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
450,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
460,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
470,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
480,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
490,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
500,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
510,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
520,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
530,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
540,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
550,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
560,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
570,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
580,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
590,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
600,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
610,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
620,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
630,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
640,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
650,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
660,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
670,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
680,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
690,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
700,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
710,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
720,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
730,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
740,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
750,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
760,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
770,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
780,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
790,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
800,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
810,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
820,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
830,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
840,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
850,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
860,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
870,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
880,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
890,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
900,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
910,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
920,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
930,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
940,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
950,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
960,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
970,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
980,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
990,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
1000,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
1010,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
1020,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
1030,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
1040,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
1050,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
1060,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
1070,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
1080,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
1090,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
1100,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
1110,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
1120,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
1130,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
1140,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
1150,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
1160,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
1170,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
1180,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
1190,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
1200,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
