cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
20,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
30,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
40,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
50,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
60,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
70,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
80,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
90,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
100,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
110,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
120,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
130,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
140,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
150,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
160,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
170,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
180,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
190,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
200,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
210,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
220,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
230,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
240,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
250,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
260,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
270,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
280,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
290,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
300,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
310,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
320,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
330,0.11,0.2,85,74,-138,85,68,-137,85,-89,136,85,-104,158
340,0.24,0.2,85,83,-137,85,78,-137,85,-80,137,85,-85,137
350,0.36,0.2,85,109,-157,85,88,-137,85,-68,137,85,-75,138
360,0.49,0.2,85,68,-137,85,85,-137,85,-72,137,85,-78,138
370,0.61,0.2,85,77,-138,85,109,-157,85,-63,137,85,-68,137
380,0.74,0.2,85,74,-138,85,68,-137,85,-66,137,85,-72,137
390,0.86,0.2,85,68,-137,85,62,-136,85,-104,158,85,-78,138
400,0.99,0.2,85,78,-137,85,72,-137,85,-85,137,85,-68,137
