cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.07,0.2,85,55,-115,85,57,-112,85,-64,119,85,-92,145
20,0.16,0.2,85,54,-117,85,55,-111,85,-64,116,85,-91,149
30,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
40,0.33,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
50,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
60,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
70,0.58,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
80,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
90,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
100,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
110,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
120,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
130,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
140,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
150,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
160,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
170,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
180,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
190,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
200,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
210,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
220,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
230,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
240,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
250,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
260,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
270,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
280,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
290,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
300,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
310,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
320,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
330,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
340,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
350,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
360,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
370,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
380,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
390,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
400,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
410,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
420,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
430,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
440,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
450,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
460,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
470,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
480,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
490,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
500,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
510,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
520,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
530,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
540,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
550,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
560,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
570,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
580,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
590,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
600,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
610,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
620,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
630,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
640,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
650,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
660,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
670,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
680,0.66,1.0,85,79,-112,85,104,-147,85,-78,116,85,-58,112
690,0.74,1.0,85,70,-112,85,90,-118,85,-87,114,85,-68,112
700,0.82,1.0,85,60,-112,85,79,-115,85,-104,143,85,-77,112
710,0.91,1.0,85,53,-111,85,72,-115,85,-80,149,85,-84,112
720,0.99,1.0,85,52,-112,85,69,-113,85,-38,118,85,-87,113
730,0.07,1.0,85,43,-112,85,60,-112,85,-45,115,85,-104,143
740,0.16,1.0,85,36,-112,85,53,-111,85,-51,115,85,-80,149
750,0.24,1.0,85,35,-113,85,52,-112,85,-52,113,85,-38,118
760,0.32,1.0,85,70,-145,85,51,-114,85,-53,111,85,-36,112
770,0.41,1.0,85,104,-147,85,47,-116,85,-58,112,85,-41,112
780,0.49,1.0,85,90,-118,85,36,-114,85,-68,112,85,-51,112
790,0.57,1.0,85,84,-112,85,70,-145,85,-71,114,85,-53,111
