time,phase,speed,turn,gait,FL_phase,FL_state,FL_dx,FL_dy,FL_dz,FL_foot_x,FL_foot_y,FL_foot_z,FL_shldr_deg,FL_shldr_raw,FL_shldr_actual,FL_femur_deg,FL_femur_raw,FL_femur_actual,FL_tibia_deg,FL_tibia_raw,FL_tibia_actual,FR_phase,FR_state,FR_dx,FR_dy,FR_dz,FR_foot_x,FR_foot_y,FR_foot_z,FR_shldr_deg,FR_shldr_raw,FR_shldr_actual,FR_femur_deg,FR_femur_raw,FR_femur_actual,FR_tibia_deg,FR_tibia_raw,FR_tibia_actual,RL_phase,RL_state,RL_dx,RL_dy,RL_dz,RL_foot_x,RL_foot_y,RL_foot_z,RL_shldr_deg,RL_shldr_raw,RL_shldr_actual,RL_femur_deg,RL_femur_raw,RL_femur_actual,RL_tibia_deg,RL_tibia_raw,RL_tibia_actual,RR_phase,RR_state,RR_dx,RR_dy,RR_dz,RR_foot_x,RR_foot_y,RR_foot_z,RR_shldr_deg,RR_shldr_raw,RR_shldr_actual,RR_femur_deg,RR_femur_raw,RR_femur_actual,RR_tibia_deg,RR_tibia_raw,RR_tibia_actual
23.782,0.688,1.0,0.0,walk,0.938,swing,28.46,0.0,15.0,53.46,5.0,-115.0,85.05,221,-1,104.26,867,-1,-113.81,123,-1,0.438,stance,-10.43,0.0,0.0,14.57,-5.0,-130.0,85.05,802,-1,75.19,255,-1,-118.21,915,-1,0.688,stance,-38.66,0.0,0.0,-46.66,5.0,-130.0,85.05,802,-1,24.0,430,-1,-106.27,717,-1,0.188,stance,28.22,0.0,0.0,20.22,-5.0,-130.0,85.05,527,-1,78.69,763,-1,-116.96,280,-1
23.802,0.696,1.0,0.0,walk,0.946,swing,31.14,0.0,15.0,56.14,5.0,-115.0,85.05,221,-1,104.62,868,-1,-112.02,130,-1,0.446,stance,-11.72,0.0,0.0,13.28,-5.0,-130.0,85.05,802,-1,74.34,258,-1,-118.44,915,-1,0.696,stance,-38.98,0.0,0.0,-46.98,5.0,-130.0,85.05,802,-1,23.72,431,-1,-106.09,716,-1,0.196,stance,27.26,0.0,0.0,19.26,-5.0,-130.0,85.05,527,-1,78.12,761,-1,-117.2,279,-1
23.822,0.704,1.0,0.0,walk,0.954,swing,33.5,0.0,15.0,58.5,5.0,-115.0,85.05,221,-1,104.86,869,-1,-110.39,135,-1,0.454,stance,-13.0,0.0,0.0,12.0,-5.0,-130.0,85.05,802,-1,73.48,261,-1,-118.65,916,-1,0.704,stance,-39.26,0.0,0.0,-47.26,5.0,-130.0,85.05,802,-1,23.48,431,-1,-105.94,716,-1,0.204,stance,26.26,0.0,0.0,18.26,-5.0,-130.0,85.05,527,-1,77.52,759,-1,-117.44,278,-1
23.842,0.712,1.0,0.0,walk,0.962,swing,35.53,0.0,15.0,60.53,5.0,-115.0,85.05,221,-1,105.01,870,-1,-108.95,140,-1,0.462,stance,-14.26,0.0,0.0,10.74,-5.0,-130.0,85.05,802,-1,72.61,264,-1,-118.83,917,-1,0.712,stance,-39.49,0.0,0.0,-47.49,5.0,-130.0,85.05,802,-1,23.27,432,-1,-105.81,715,-1,0.212,stance,25.24,0.0,0.0,17.24,-5.0,-130.0,85.05,527,-1,76.89,757,-1,-117.67,277,-1
23.862,0.72,1.0,0.0,walk,0.97,swing,37.19,0.0,13.57,62.19,5.0,-116.43,85.05,221,219,103.83,866,864,-106.76,147,146,0.47,stance,-15.5,0.0,0.0,9.5,-5.0,-130.0,85.05,802,803,71.74,267,267,-118.99,917,917,0.72,stance,-39.68,0.0,0.0,-47.68,5.0,-130.0,85.05,802,801,23.11,433,431,-105.7,715,716,0.22,stance,24.18,0.0,0.0,16.18,-5.0,-130.0,85.05,527,524,76.23,754,760,-117.89,277,282
24.072,0.728,1.0,0.0,walk,0.978,swing,38.48,0.0,9.52,63.48,5.0,-120.48,85.05,221,-1,100.36,854,-1,-102.96,160,-1,0.478,stance,-16.73,0.0,0.0,8.27,-5.0,-130.0,85.05,802,-1,70.86,270,-1,-119.13,918,-1,0.728,stance,-39.83,0.0,0.0,-47.83,5.0,-130.0,85.05,802,-1,22.98,433,-1,-105.62,715,-1,0.228,stance,23.1,0.0,0.0,15.1,-5.0,-130.0,85.05,527,-1,75.53,752,-1,-118.11,276,-1
24.092,0.736,1.0,0.0,walk,0.986,swing,39.38,0.0,4.59,64.38,5.0,-125.41,85.05,221,-1,96.17,839,-1,-98.63,175,-1,0.486,stance,-17.94,0.0,0.0,7.06,-5.0,-130.0,85.05,802,-1,69.99,273,-1,-119.25,918,-1,0.736,stance,-39.93,0.0,0.0,-47.93,5.0,-130.0,85.05,802,-1,22.9,433,-1,-105.56,715,-1,0.236,stance,22.0,0.0,0.0,14.0,-5.0,-130.0,85.05,527,-1,74.81,750,-1,-118.31,275,-1
24.113,0.744,1.0,0.0,walk,0.994,swing,39.89,0.0,0.93,64.89,5.0,-129.07,85.05,221,-1,93.08,829,-1,-95.38,186,-1,0.494,stance,-19.12,0.0,0.0,5.88,-5.0,-130.0,85.05,802,-1,69.11,276,-1,-119.35,918,-1,0.744,stance,-39.99,0.0,0.0,-47.99,5.0,-130.0,85.05,802,-1,22.85,434,-1,-105.53,714,-1,0.244,stance,20.86,0.0,0.0,12.86,-5.0,-130.0,85.05,527,-1,74.06,747,-1,-118.51,274,-1
24.132,0.752,1.0,0.0,walk,0.002,stance,40.0,0.0,-0.08,65.0,5.0,-130.08,85.05,221,-1,92.23,826,-1,-94.48,189,-1,0.502,stance,-20.29,0.0,0.0,4.71,-5.0,-130.0,85.05,802,-1,68.24,279,-1,-119.43,919,-1,0.752,swing,-39.99,0.0,0.38,-47.99,5.0,-129.62,85.05,802,-1,22.89,433,-1,-105.85,716,-1,0.252,stance,19.71,0.0,0.0,11.71,-5.0,-130.0,85.05,527,-1,73.28,744,-1,-118.69,274,-1
24.153,0.76,1.0,0.0,walk,0.01,stance,39.96,0.0,-0.42,64.96,5.0,-130.42,85.05,221,220,91.95,825,824,-94.23,190,192,0.51,stance,-21.43,0.0,0.0,3.57,-5.0,-130.0,85.05,802,800,67.37,282,284,-119.49,919,917,0.76,swing,-39.68,0.0,1.88,-47.68,5.0,-128.12,85.05,802,801,23.3,432,431,-107.27,720,716,0.26,stance,18.53,0.0,0.0,10.53,-5.0,-130.0,85.05,527,524,72.46,742,740,-118.86,273,273
24.362,0.768,1.0,0.0,walk,0.018,stance,39.89,0.0,-0.74,64.89,5.0,-130.74,85.05,221,-1,91.67,824,-1,-94.03,191,-1,0.518,stance,-22.55,0.0,0.0,2.45,-5.0,-130.0,85.05,802,-1,66.51,285,-1,-119.53,919,-1,0.768,swing,-38.98,0.0,3.36,-46.98,5.0,-126.64,85.05,802,-1,24.05,429,-1,-108.88,726,-1,0.268,stance,17.33,0.0,0.0,9.33,-5.0,-130.0,85.05,527,-1,71.62,739,-1,-119.01,273,-1
24.382,0.776,1.0,0.0,walk,0.026,stance,39.76,0.0,-1.04,64.76,5.0,-131.04,85.05,221,-1,91.41,823,-1,-93.87,191,-1,0.526,stance,-23.65,0.0,0.0,1.35,-5.0,-130.0,85.05,802,-1,65.66,288,-1,-119.56,919,-1,0.776,swing,-37.88,0.0,4.81,-45.88,5.0,-125.19,85.05,802,-1,25.14,426,-1,-110.67,732,-1,0.276,stance,16.12,0.0,0.0,8.12,-5.0,-130.0,85.05,527,-1,70.75,736,-1,-119.15,272,-1
24.402,0.784,1.0,0.0,walk,0.034,stance,39.6,0.0,-1.31,64.6,5.0,-131.31,85.05,221,-1,91.18,822,-1,-93.77,192,-1,0.534,stance,-24.71,0.0,0.0,0.29,-5.0,-130.0,85.05,802,-1,64.82,290,-1,-119.57,919,-1,0.784,swing,-36.4,0.0,6.22,-44.4,5.0,-123.78,85.05,802,-1,26.57,421,-1,-112.61,739,-1,0.284,stance,14.88,0.0,0.0,6.88,-5.0,-130.0,85.05,527,-1,69.85,733,-1,-119.27,272,-1
24.422,0.792,1.0,0.0,walk,0.042,stance,39.38,0.0,-1.54,64.38,5.0,-131.54,85.05,221,-1,90.97,822,-1,-93.73,192,-1,0.542,stance,-25.75,0.0,0.0,-0.75,-5.0,-130.0,85.05,802,-1,63.99,293,-1,-119.57,919,-1,0.792,swing,-34.56,0.0,7.55,-42.56,5.0,-122.45,85.05,802,-1,28.35,415,-1,-114.67,746,-1,0.292,stance,13.63,0.0,0.0,5.63,-5.0,-130.0,85.05,527,-1,68.93,729,-1,-119.37,272,-1
24.442,0.8,1.0,0.0,walk,0.05,stance,39.13,0.0,-1.73,64.13,5.0,-131.73,85.05,221,220,90.8,821,818,-93.76,192,190,0.55,stance,-26.77,0.0,0.0,-1.77,-5.0,-130.0,85.05,802,801,63.18,296,298,-119.55,919,917,0.8,swing,-32.36,0.0,8.82,-40.36,5.0,-121.18,85.05,802,802,30.47,408,405,-116.81,753,751,0.3,stance,12.36,0.0,0.0,4.36,-5.0,-130.0,85.05,527,524,67.97,726,722,-119.45,271,277
24.652,0.808,1.0,0.0,walk,0.058,stance,38.83,0.0,-1.87,63.83,5.0,-131.87,85.05,221,-1,90.67,821,-1,-93.86,191,-1,0.558,stance,-27.75,0.0,0.0,-2.75,-5.0,-130.0,85.05,802,-1,62.38,299,-1,-119.52,919,-1,0.808,swing,-29.84,0.0,9.99,-37.84,5.0,-120.01,85.05,802,-1,32.95,399,-1,-119.0,760,-1,0.308,stance,11.08,0.0,0.0,3.08,-5.0,-130.0,85.05,527,-1,67.0,723,-1,-119.51,271,-1
24.672,0.816,1.0,0.0,walk,0.066,stance,38.48,0.0,-1.96,63.48,5.0,-131.96,85.05,221,-1,90.58,820,-1,-94.03,191,-1,0.566,stance,-28.7,0.0,0.0,-3.7,-5.0,-130.0,85.05,802,-1,61.61,301,-1,-119.48,919,-1,0.816,swing,-27.01,0.0,11.06,-35.01,5.0,-118.94,85.05,802,-1,35.77,390,-1,-121.2,768,-1,0.316,stance,9.79,0.0,0.0,1.79,-5.0,-130.0,85.05,527,-1,65.99,719,-1,-119.55,271,-1
24.702,0.824,1.0,0.0,walk,0.074,stance,38.09,0.0,-2.0,63.09,5.0,-132.0,85.05,221,-1,90.53,820,-1,-94.27,190,-1,0.574,stance,-29.61,0.0,0.0,-4.61,-5.0,-130.0,85.05,802,-1,60.85,304,-1,-119.43,919,-1,0.824,swing,-23.92,0.0,12.02,-31.92,5.0,-117.98,85.05,802,-1,38.93,379,-1,-123.35,775,-1,0.324,stance,8.48,0.0,0.0,0.48,-5.0,-130.0,85.05,527,-1,64.97,716,-1,-119.57,271,-1
24.722,0.832,1.0,0.0,walk,0.082,stance,37.66,0.0,-1.98,62.66,5.0,-131.98,85.05,221,-1,90.52,820,-1,-94.6,189,-1,0.582,stance,-30.5,0.0,0.0,-5.5,-5.0,-130.0,85.05,802,-1,60.12,306,-1,-119.38,919,-1,0.832,swing,-20.58,0.0,12.86,-28.58,5.0,-117.14,85.05,802,-1,42.41,367,-1,-125.41,782,-1,0.332,stance,7.17,0.0,0.0,-0.83,-5.0,-130.0,85.05,527,-1,63.93,712,-1,-119.57,271,-1
24.752,0.84,1.0,0.0,walk,0.09,stance,37.19,0.0,-1.9,62.19,5.0,-131.9,85.05,221,219,90.55,820,819,-94.99,188,188,0.59,stance,-31.35,0.0,0.0,-6.35,-5.0,-130.0,85.05,802,801,59.41,309,309,-119.31,918,917,0.84,swing,-17.03,0.0,13.57,-25.03,5.0,-116.43,85.05,802,801,46.19,354,352,-127.32,789,764,0.34,stance,5.84,0.0,0.0,-2.16,-5.0,-130.0,85.05,527,524,62.86,709,708,-119.54,271,272
24.962,0.848,1.0,0.0,walk,0.098,stance,36.68,0.0,-1.77,61.68,5.0,-131.77,85.05,221,-1,90.63,821,-1,-95.46,186,-1,0.598,stance,-32.16,0.0,0.0,-7.16,-5.0,-130.0,85.05,802,-1,58.73,311,-1,-119.24,918,-1,0.848,swing,-13.31,0.0,14.14,-21.31,5.0,-115.86,85.05,802,-1,50.22,340,-1,-129.02,795,-1,0.348,stance,4.51,0.0,0.0,-3.49,-5.0,-130.0,85.05,527,-1,61.78,705,-1,-119.49,271,-1
24.982,0.856,1.0,0.0,walk,0.106,stance,36.12,0.0,-1.59,61.12,5.0,-131.59,85.05,221,-1,90.74,821,-1,-96.0,184,-1,0.606,stance,-32.94,0.0,0.0,-7.94,-5.0,-130.0,85.05,802,-1,58.07,313,-1,-119.17,918,-1,0.856,swing,-9.46,0.0,14.57,-17.46,5.0,-115.43,85.05,802,-1,54.45,326,-1,-130.48,800,-1,0.356,stance,3.18,0.0,0.0,-4.82,-5.0,-130.0,85.05,527,-1,60.68,701,-1,-119.42,271,-1
25.003,0.864,1.0,0.0,walk,0.114,stance,35.53,0.0,-1.37,60.53,5.0,-131.37,85.05,221,-1,90.88,821,-1,-96.59,182,-1,0.614,stance,-33.68,0.0,0.0,-8.68,-5.0,-130.0,85.05,802,-1,57.45,316,-1,-119.09,918,-1,0.864,swing,-5.51,0.0,14.86,-13.51,5.0,-115.14,85.05,802,-1,58.78,311,-1,-131.63,804,-1,0.364,stance,1.84,0.0,0.0,-6.16,-5.0,-130.0,85.05,527,-1,59.57,698,-1,-119.33,272,-1
25.022,0.872,1.0,0.0,walk,0.122,stance,34.89,0.0,-1.11,59.89,5.0,-131.11,85.05,221,-1,91.04,822,-1,-97.24,180,-1,0.622,stance,-34.39,0.0,0.0,-9.39,-5.0,-130.0,85.05,802,-1,56.85,318,-1,-119.0,917,-1,0.872,swing,-1.51,0.0,14.99,-9.51,5.0,-115.01,85.05,802,-1,63.13,296,-1,-132.44,806,-1,0.372,stance,0.5,0.0,0.0,-7.5,-5.0,-130.0,85.05,527,-1,58.45,694,-1,-119.21,272,-1
25.042,0.88,1.0,0.0,walk,0.13,stance,34.21,0.0,-0.81,59.21,5.0,-130.81,85.05,221,219,91.23,823,819,-97.94,178,177,0.63,stance,-35.05,0.0,0.0,-10.05,-5.0,-130.0,85.05,802,800,56.28,320,320,-118.92,917,917,0.88,swing,2.51,0.0,15.0,-5.49,5.0,-115.0,85.05,802,801,67.39,282,277,-132.91,808,763,0.38,stance,-0.84,0.0,0.0,-8.84,-5.0,-130.0,85.05,527,524,57.31,690,685,-119.07,273,273
25.252,0.888,1.0,0.0,walk,0.138,stance,33.5,0.0,-0.5,58.5,5.0,-130.5,85.05,221,-1,91.42,823,-1,-98.68,175,-1,0.638,stance,-35.68,0.0,0.0,-10.68,-5.0,-130.0,85.05,802,-1,55.74,321,-1,-118.84,917,-1,0.888,swing,6.51,0.0,15.0,-1.49,5.0,-115.0,85.05,802,-1,71.51,268,-1,-133.13,809,-1,0.388,stance,-2.18,0.0,0.0,-10.18,-5.0,-130.0,85.05,527,-1,56.17,686,-1,-118.91,273,-1
25.272,0.896,1.0,0.0,walk,0.146,stance,32.75,0.0,-0.17,57.75,5.0,-130.17,85.05,221,-1,91.62,824,-1,-99.45,172,-1,0.646,stance,-36.26,0.0,0.0,-11.26,-5.0,-130.0,85.05,802,-1,55.24,323,-1,-118.76,916,-1,0.896,swing,10.43,0.0,15.0,2.43,5.0,-115.0,85.05,802,-1,75.42,254,-1,-133.1,809,-1,0.396,stance,-3.51,0.0,0.0,-11.51,-5.0,-130.0,85.05,527,-1,55.02,682,-1,-118.72,274,-1
25.292,0.904,1.0,0.0,walk,0.154,stance,31.96,0.0,0.0,56.96,5.0,-130.0,85.05,221,-1,91.66,824,-1,-100.1,170,-1,0.654,stance,-36.81,0.0,0.0,-11.81,-5.0,-130.0,85.05,802,-1,54.77,325,-1,-118.68,916,-1,0.904,swing,14.26,0.0,15.0,6.26,5.0,-115.0,85.05,802,-1,79.06,242,-1,-132.85,808,-1,0.404,stance,-4.85,0.0,0.0,-12.85,-5.0,-130.0,85.05,527,-1,53.87,678,-1,-118.51,274,-1
25.312,0.912,1.0,0.0,walk,0.162,stance,31.14,0.0,0.0,56.14,5.0,-130.0,85.05,221,-1,91.55,824,-1,-100.63,168,-1,0.662,stance,-37.31,0.0,0.0,-12.31,-5.0,-130.0,85.05,802,-1,54.34,326,-1,-118.6,916,-1,0.912,swing,17.94,0.0,15.0,9.94,5.0,-115.0,85.05,802,-1,82.38,231,-1,-132.39,806,-1,0.412,stance,-6.17,0.0,0.0,-14.17,-5.0,-130.0,85.05,527,-1,52.72,674,-1,-118.28,275,-1
25.342,0.92,1.0,0.0,walk,0.17,stance,30.28,0.0,0.0,55.28,5.0,-130.0,85.05,221,219,91.43,823,819,-101.18,166,165,0.67,stance,-37.78,0.0,0.0,-12.78,-5.0,-130.0,85.05,802,801,53.94,328,327,-118.52,916,916,0.92,swing,21.43,0.0,15.0,13.43,5.0,-115.0,85.05,802,803,85.34,220,217,-131.77,804,763,0.42,stance,-7.5,0.0,0.0,-15.5,-5.0,-130.0,85.05,527,524,51.57,670,666,-118.03,276,273
25.552,0.928,1.0,0.0,walk,0.178,stance,29.39,0.0,0.0,54.39,5.0,-130.0,85.05,221,-1,91.3,823,-1,-101.74,165,-1,0.678,stance,-38.19,0.0,0.0,-13.19,-5.0,-130.0,85.05,802,-1,53.57,329,-1,-118.45,915,-1,0.928,swing,24.71,0.0,15.0,16.71,5.0,-115.0,85.05,802,-1,87.94,212,-1,-131.03,801,-1,0.428,stance,-8.81,0.0,0.0,-16.81,-5.0,-130.0,85.05,527,-1,50.42,666,-1,-117.76,277,-1
25.572,0.936,1.0,0.0,walk,0.186,stance,28.46,0.0,0.0,53.46,5.0,-130.0,85.05,221,-1,91.15,822,-1,-102.32,163,-1,0.686,stance,-38.57,0.0,0.0,-13.57,-5.0,-130.0,85.05,802,-1,53.24,330,-1,-118.39,915,-1,0.936,swing,27.75,0.0,15.0,19.75,5.0,-115.0,85.05,802,-1,90.17,204,-1,-130.21,799,-1,0.436,stance,-10.11,0.0,0.0,-18.11,-5.0,-130.0,85.05,527,-1,49.27,662,-1,-117.48,278,-1
25.592,0.944,1.0,0.0,walk,0.194,stance,27.5,0.0,0.0,52.5,5.0,-130.0,85.05,221,-1,90.98,822,-1,-102.9,161,-1,0.694,stance,-38.9,0.0,0.0,-13.9,-5.0,-130.0,85.05,802,-1,52.95,331,-1,-118.33,915,-1,0.944,swing,30.5,0.0,15.0,22.5,5.0,-115.0,85.05,802,-1,92.05,198,-1,-129.36,796,-1,0.444,stance,-11.4,0.0,0.0,-19.4,-5.0,-130.0,85.05,527,-1,48.13,659,-1,-117.17,279,-1
25.622,0.952,1.0,0.0,walk,0.202,stance,26.52,0.0,0.0,51.52,5.0,-130.0,85.05,221,-1,90.8,821,-1,-103.49,159,-1,0.702,stance,-39.19,0.0,0.0,-14.19,-5.0,-130.0,85.05,802,-1,52.7,332,-1,-118.28,915,-1,0.952,swing,32.94,0.0,15.0,24.94,5.0,-115.0,85.05,802,-1,93.61,192,-1,-128.53,793,-1,0.452,stance,-12.68,0.0,0.0,-20.68,-5.0,-130.0,85.05,527,-1,47.0,655,-1,-116.85,280,-1
25.643,0.96,1.0,0.0,walk,0.21,stance,25.5,0.0,0.0,50.5,5.0,-130.0,85.05,221,219,90.6,820,819,-104.09,157,156,0.71,stance,-39.44,0.0,0.0,-14.44,-5.0,-130.0,85.05,802,801,52.49,333,332,-118.23,915,913,0.96,swing,35.05,0.0,15.0,27.05,5.0,-115.0,85.05,802,801,94.88,188,187,-127.74,790,764,0.46,stance,-13.94,0.0,0.0,-21.94,-5.0,-130.0,85.05,527,524,45.88,651,649,-116.51,281,280
25.852,0.968,1.0,0.0,walk,0.218,stance,24.45,0.0,0.0,49.45,5.0,-130.0,85.05,221,-1,90.38,820,-1,-104.7,154,-1,0.718,stance,-39.64,0.0,0.0,-14.64,-5.0,-130.0,85.05,802,-1,52.31,333,-1,-118.2,915,-1,0.968,swing,36.81,0.0,14.22,28.81,5.0,-115.78,85.05,802,-1,95.16,187,-1,-126.42,786,-1,0.468,stance,-15.19,0.0,0.0,-23.19,-5.0,-130.0,85.05,527,-1,44.77,647,-1,-116.15,283,-1
25.872,0.976,1.0,0.0,walk,0.226,stance,23.38,0.0,0.0,48.38,5.0,-130.0,85.05,221,-1,90.14,819,-1,-105.31,152,-1,0.726,stance,-39.8,0.0,0.0,-14.8,-5.0,-130.0,85.05,802,-1,52.18,334,-1,-118.17,914,-1,0.976,swing,38.19,0.0,10.69,30.19,5.0,-119.31,85.05,802,-1,92.78,195,-1,-122.98,774,-1,0.476,stance,-16.42,0.0,0.0,-24.42,-5.0,-130.0,85.05,527,-1,43.67,643,-1,-115.79,284,-1
25.892,0.984,1.0,0.0,walk,0.234,stance,22.28,0.0,0.0,47.28,5.0,-130.0,85.05,221,-1,89.89,818,-1,-105.93,150,-1,0.734,stance,-39.91,0.0,0.0,-14.91,-5.0,-130.0,85.05,802,-1,52.08,334,-1,-118.15,914,-1,0.984,swing,39.19,0.0,5.79,31.19,5.0,-124.21,85.05,802,-1,89.09,208,-1,-118.48,759,-1,0.484,stance,-17.64,0.0,0.0,-25.64,-5.0,-130.0,85.05,527,-1,42.59,640,-1,-115.41,285,-1
25.912,0.992,1.0,0.0,walk,0.242,stance,21.15,0.0,0.0,46.15,5.0,-130.0,85.05,221,-1,89.6,817,-1,-106.54,148,-1,0.742,stance,-39.98,0.0,0.0,-14.98,-5.0,-130.0,85.05,802,-1,52.02,334,-1,-118.13,914,-1,0.992,swing,39.8,0.0,1.62,31.8,5.0,-128.38,85.05,802,-1,85.94,218,-1,-114.65,746,-1,0.492,stance,-18.83,0.0,0.0,-26.83,-5.0,-130.0,85.05,527,-1,41.53,636,-1,-115.02,286,-1
25.932,0.0,1.0,0.0,walk,0.25,stance,20.0,0.0,0.0,45.0,5.0,-130.0,85.05,221,219,89.3,816,817,-107.16,146,145,0.75,swing,-40.0,0.0,0.0,-15.0,-5.0,-130.0,85.05,802,801,52.0,334,332,-118.13,914,913,0.0,stance,40.0,0.0,-0.0,32.0,5.0,-130.0,85.05,802,801,84.72,223,226,-113.15,740,739,0.5,stance,-20.0,0.0,0.0,-28.0,-5.0,-130.0,85.05,527,524,40.48,632,629,-114.62,288,287
26.142,0.008,1.0,0.0,walk,0.258,stance,18.83,0.0,0.0,43.83,5.0,-130.0,85.05,221,-1,88.98,815,-1,-107.77,144,-1,0.758,swing,-39.8,0.0,1.51,-14.8,-5.0,-128.49,85.05,802,-1,52.76,332,-1,-119.55,919,-1,0.008,stance,39.98,0.0,-0.33,31.98,5.0,-130.33,85.05,802,-1,84.44,224,-1,-112.86,740,-1,0.508,stance,-21.15,0.0,0.0,-29.15,-5.0,-130.0,85.05,527,-1,39.46,629,-1,-114.22,289,-1
26.162,0.016,1.0,0.0,walk,0.266,stance,17.64,0.0,0.0,42.64,5.0,-130.0,85.05,221,-1,88.63,814,-1,-108.38,142,-1,0.766,swing,-39.19,0.0,3.0,-14.19,-5.0,-127.0,85.05,802,-1,53.87,328,-1,-121.02,924,-1,0.016,stance,39.91,0.0,-0.66,31.91,5.0,-130.66,85.05,802,-1,84.15,225,-1,-112.6,739,-1,0.516,stance,-22.28,0.0,0.0,-30.28,-5.0,-130.0,85.05,527,-1,38.45,626,-1,-113.81,291,-1
26.182,0.024,1.0,0.0,walk,0.274,stance,16.42,0.0,0.0,41.42,5.0,-130.0,85.05,221,-1,88.25,812,-1,-108.98,140,-1,0.774,swing,-38.19,0.0,4.46,-13.19,-5.0,-125.54,85.05,802,-1,55.34,323,-1,-122.52,929,-1,0.024,stance,39.8,0.0,-0.96,31.8,5.0,-130.96,85.05,802,-1,83.85,226,-1,-112.37,738,-1,0.524,stance,-23.38,0.0,0.0,-31.38,-5.0,-130.0,85.05,527,-1,37.47,622,-1,-113.39,292,-1
26.212,0.032,1.0,0.0,walk,0.282,stance,15.19,0.0,0.0,40.19,5.0,-130.0,85.05,221,-1,87.86,811,-1,-109.58,138,-1,0.782,swing,-36.81,0.0,5.87,-11.81,-5.0,-124.13,85.05,802,-1,57.18,317,-1,-124.03,934,-1,0.032,stance,39.64,0.0,-1.24,31.64,5.0,-131.24,85.05,802,-1,83.56,227,-1,-112.19,737,-1,0.532,stance,-24.45,0.0,0.0,-32.45,-5.0,-130.0,85.05,527,-1,36.52,619,-1,-112.97,293,-1
26.232,0.04,1.0,0.0,walk,0.29,stance,13.94,0.0,0.0,38.94,5.0,-130.0,85.05,221,219,87.43,810,810,-110.17,136,135,0.79,swing,-35.05,0.0,7.23,-10.05,-5.0,-122.77,85.05,802,800,59.39,309,307,-125.51,939,923,0.04,stance,39.44,0.0,-1.49,31.44,5.0,-131.49,85.05,802,802,83.28,228,227,-112.05,737,738,0.54,stance,-25.5,0.0,0.0,-33.5,-5.0,-130.0,85.05,527,524,35.59,616,613,-112.55,295,293
26.442,0.048,1.0,0.0,walk,0.298,stance,12.68,0.0,0.0,37.68,5.0,-130.0,85.05,221,-1,86.98,808,-1,-110.75,134,-1,0.798,swing,-32.94,0.0,8.51,-7.94,-5.0,-121.49,85.05,802,-1,61.95,300,-1,-126.92,944,-1,0.048,stance,39.19,0.0,-1.69,31.19,5.0,-131.69,85.05,802,-1,83.01,228,-1,-111.96,736,-1,0.548,stance,-26.52,0.0,0.0,-34.52,-5.0,-130.0,85.05,527,-1,34.68,613,-1,-112.13,296,-1
26.472,0.056,1.0,0.0,walk,0.306,stance,11.4,0.0,0.0,36.4,5.0,-130.0,85.05,221,-1,86.51,806,-1,-111.32,132,-1,0.806,swing,-30.5,0.0,9.71,-5.5,-5.0,-120.29,85.05,802,-1,64.85,290,-1,-128.23,949,-1,0.056,stance,38.9,0.0,-1.84,30.9,5.0,-131.84,85.05,802,-1,82.76,229,-1,-111.93,736,-1,0.556,stance,-27.5,0.0,0.0,-35.5,-5.0,-130.0,85.05,527,-1,33.8,610,-1,-111.71,298,-1
26.475,0.064,1.0,0.0,walk,0.314,stance,10.11,0.0,0.0,35.11,5.0,-130.0,85.05,221,-1,86.01,805,-1,-111.88,130,-1,0.814,swing,-27.75,0.0,10.8,-2.75,-5.0,-119.2,85.05,802,-1,68.03,280,-1,-129.37,953,-1,0.064,stance,38.57,0.0,-1.95,30.57,5.0,-131.95,85.05,802,-1,82.53,230,-1,-111.96,736,-1,0.564,stance,-28.46,0.0,0.0,-36.46,-5.0,-130.0,85.05,527,-1,32.96,607,-1,-111.3,299,-1
26.512,0.072,1.0,0.0,walk,0.322,stance,8.81,0.0,0.0,33.81,5.0,-130.0,85.05,221,-1,85.48,803,-1,-112.42,128,-1,0.822,swing,-24.71,0.0,11.79,0.29,-5.0,-118.21,85.05,802,-1,71.46,268,-1,-130.31,956,-1,0.072,stance,38.19,0.0,-2.0,30.19,5.0,-132.0,85.05,802,-1,82.32,231,-1,-112.05,737,-1,0.572,stance,-29.39,0.0,0.0,-37.39,-5.0,-130.0,85.05,527,-1,32.14,604,-1,-110.88,300,-1
26.532,0.08,1.0,0.0,walk,0.33,stance,7.5,0.0,0.0,32.5,5.0,-130.0,85.05,221,219,84.93,801,802,-112.95,126,127,0.83,swing,-21.43,0.0,12.66,3.57,-5.0,-117.34,85.05,802,800,75.05,256,253,-130.99,958,930,0.08,stance,37.78,0.0,-1.99,29.78,5.0,-131.99,85.05,802,801,82.14,231,231,-112.21,737,738,0.58,stance,-30.28,0.0,0.0,-38.28,-5.0,-130.0,85.05,527,524,31.35,601,597,-110.48,302,300
26.752,0.088,1.0,0.0,walk,0.338,stance,6.17,0.0,0.0,31.17,5.0,-130.0,85.05,221,-1,84.35,799,-1,-113.47,125,-1,0.838,swing,-17.94,0.0,13.41,7.06,-5.0,-116.59,85.05,802,-1,78.72,243,-1,-131.36,959,-1,0.088,stance,37.31,0.0,-1.93,29.31,5.0,-131.93,85.05,802,-1,81.97,232,-1,-112.43,738,-1,0.588,stance,-31.14,0.0,0.0,-39.14,-5.0,-130.0,85.05,527,-1,30.59,599,-1,-110.08,303,-1
