cyc,ph,spd,FL_s,FL_f,FL_l,FR_s,FR_f,FR_l,RL_s,RL_f,RL_l,RR_s,RR_f,RR_l
10,0.07,0.2,85,72,-121,85,61,-121,85,-88,146,85,-65,121
20,0.16,0.2,85,70,-121,85,59,-121,85,-81,149,85,-66,121
30,0.24,0.2,85,69,-121,85,57,-121,85,-59,124,85,-68,121
40,0.33,0.2,85,67,-121,85,77,-146,85,-59,121,85,-70,121
50,0.41,0.2,85,65,-121,85,89,-149,85,-61,121,85,-72,121
60,0.49,0.2,85,63,-121,85,75,-124,85,-63,121,85,-73,121
70,0.58,0.2,85,61,-121,85,72,-121,85,-65,121,85,-88,146
80,0.66,0.2,85,59,-121,85,70,-121,85,-66,121,85,-81,149
90,0.74,0.2,85,57,-121,85,69,-121,85,-68,121,85,-59,124
100,0.82,0.2,85,77,-146,85,67,-121,85,-70,121,85,-59,121
110,0.91,0.2,85,89,-149,85,65,-121,85,-72,121,85,-61,121
120,0.99,0.2,85,75,-124,85,63,-121,85,-73,121,85,-63,121
130,0.07,0.2,85,72,-121,85,61,-121,85,-88,146,85,-65,121
140,0.16,0.2,85,70,-121,85,59,-121,85,-81,149,85,-66,121
150,0.24,0.2,85,69,-121,85,57,-121,85,-59,124,85,-68,121
160,0.32,0.2,85,67,-121,85,77,-146,85,-59,121,85,-70,121
170,0.41,0.2,85,65,-121,85,89,-149,85,-61,121,85,-72,121
180,0.49,0.2,85,63,-121,85,75,-124,85,-63,121,85,-73,121
190,0.57,0.2,85,61,-121,85,72,-121,85,-65,121,85,-88,146
200,0.66,0.2,85,59,-121,85,70,-121,85,-66,121,85,-81,149
210,0.74,0.2,85,57,-121,85,69,-121,85,-68,121,85,-59,124
220,0.82,0.2,85,77,-146,85,67,-121,85,-70,121,85,-59,121
230,0.91,0.2,85,89,-149,85,65,-121,85,-72,121,85,-61,121
240,0.99,0.2,85,75,-124,85,63,-121,85,-73,121,85,-63,121
250,0.07,0.2,85,72,-121,85,61,-121,85,-88,146,85,-65,121
260,0.16,0.2,85,70,-121,85,59,-121,85,-81,149,85,-66,121
270,0.24,0.2,85,69,-121,85,57,-121,85,-59,124,85,-68,121
280,0.32,0.2,85,67,-121,85,77,-146,85,-59,121,85,-70,121
290,0.41,0.2,85,65,-121,85,89,-149,85,-61,121,85,-72,121
300,0.49,0.2,85,63,-121,85,75,-124,85,-63,121,85,-73,121
